mirId	Family/Cluster	Cancer	Profile	PubMed Article
hsa-miR-15b	mir-15	lung cancer	down	Histone deacetylases inhibitor trichostatin A increases the expression of Dleu2/miR-15a/16-1 via HDAC3 in non-small cell lung cancer.
hsa-miR-17	mir-17-92	lung cancer	up	A polycistronic microRNA cluster, miR-17-92, is overexpressed in human lung cancers and enhances cell proliferation.
hsa-miR-17	mir-17-92	lung cancer	up	Apoptosis induction by antisense oligonucleotides against miR-17-5p and miR-20a in lung cancers overexpressing miR-17-92.
hsa-miR-17	mir-17-92	lung cancer	up	MicroRNA miR-17-5p is overexpressed in pancreatic cancer, associated with a poor prognosis, and involved in cancer cell proliferation and invasion.
hsa-miR-182		lung cancer	up	Differential MicroRNAs Expression in Serum of Patients with Lung Cancer, Pulmonary Tuberculosis, and Pneumonia.
hsa-miR-182		lung cancer	up	Downregulation of microRNA-182 inhibits cell growth and invasion by targeting programmed cell death 4 in human lung adenocarcinoma cells.
hsa-miR-182		lung cancer	down	[Methylation Status of miR-182 Promoter in Lung Cancer Cell Lines].
hsa-miR-183-3p		lung cancer	up	Up-regulation of microRNA-183-3p is a potent prognostic marker for lung adenocarcinoma of female non-smokers.
hsa-miR-18a	mir-17-92	lung cancer	up	A polycistronic microRNA cluster, miR-17-92, is overexpressed in human lung cancers and enhances cell proliferation.
hsa-miR-18a	mir-17-92	lung cancer	up	Apoptosis induction by antisense oligonucleotides against miR-17-5p and miR-20a in lung cancers overexpressing miR-17-92.
hsa-miR-18a	mir-17-92	lung cancer	up	MicroRNA miR-17-5p is overexpressed in pancreatic cancer, associated with a poor prognosis, and involved in cancer cell proliferation and invasion.
hsa-miR-192		lung cancer	down	MicroRNA-192 targeting retinoblastoma 1 inhibits cell proliferation and induces cell apoptosis in lung cancer cells.
hsa-miR-193a-3p		lung cancer	down	miR-193a-3p functions as a tumor suppressor in lung cancer by downregulating ERBB4.
hsa-miR-194		lung cancer	down	miR-194 suppresses metastasis of non-small cell lung cancer through regulating expression of BMP1 and p27(kip1.)
hsa-miR-195	mir-15	lung cancer	down	Histone deacetylases inhibitor trichostatin A increases the expression of Dleu2/miR-15a/16-1 via HDAC3 in non-small cell lung cancer.
hsa-miR-195		lung cancer	down	MiR-195 suppresses non-small cell lung cancer by targeting CHEK1.
hsa-miR-197		lung cancer	up	Differential MicroRNAs Expression in Serum of Patients with Lung Cancer, Pulmonary Tuberculosis, and Pneumonia.
hsa-miR-198		lung cancer	down	MicroRNA-198 Inhibits Proliferation and Induces Apoptosis of Lung Cancer Cells Via Targeting FGFR1.
hsa-miR-19a	mir-17-92	lung cancer	up	A polycistronic microRNA cluster, miR-17-92, is overexpressed in human lung cancers and enhances cell proliferation.
hsa-miR-19a	mir-17-92	lung cancer	up	Apoptosis induction by antisense oligonucleotides against miR-17-5p and miR-20a in lung cancers overexpressing miR-17-92.
hsa-miR-19a	mir-17-92	lung cancer	up	MicroRNA miR-17-5p is overexpressed in pancreatic cancer, associated with a poor prognosis, and involved in cancer cell proliferation and invasion.
hsa-miR-19b	mir-17-92	lung cancer	up	A polycistronic microRNA cluster, miR-17-92, is overexpressed in human lung cancers and enhances cell proliferation.
hsa-miR-19b	mir-17-92	lung cancer	up	Apoptosis induction by antisense oligonucleotides against miR-17-5p and miR-20a in lung cancers overexpressing miR-17-92.
hsa-miR-19b	mir-17-92	lung cancer	up	MicroRNA miR-17-5p is overexpressed in pancreatic cancer, associated with a poor prognosis, and involved in cancer cell proliferation and invasion.
hsa-miR-200a	mir-200	lung cancer	up	MicroRNA-200 promotes lung cancer cell growth through FOG2-independent AKT activation.
hsa-miR-200b	mir-200	lung cancer	up	MicroRNA-200 promotes lung cancer cell growth through FOG2-independent AKT activation.
hsa-miR-200c	mir-200	lung cancer	up	MicroRNA-200 promotes lung cancer cell growth through FOG2-independent AKT activation.
hsa-miR-203		lung cancer	down	The expression and function of microRNA-203 in lung cancer.
hsa-miR-203		lung cancer	down	miR-203 Suppresses the Proliferation and Migration and Promotes the Apoptosis of Lung Cancer Cells by Targeting SRC.
hsa-miR-205		lung cancer	up	Evaluation of dynamic change of serum miR-21 and miR-24 in pre- and post-operative lung carcinoma patients.
hsa-miR-205		lung cancer	up	miR-205 regulates A549 cells proliferation by targeting PTEN.
hsa-miR-206		lung cancer	down	Comprehensive gene and microRNA expression profiling reveals miR-206 inhibits MET in lung cancer metastasis.
hsa-miR-206		lung cancer	down	Down-regulation of c-Met and Bcl2 by microRNA-206, activates apoptosis, and inhibits tumor cell proliferation, migration and colony formation.
hsa-miR-20a	mir-17-92	lung cancer	up	A polycistronic microRNA cluster, miR-17-92, is overexpressed in human lung cancers and enhances cell proliferation.
hsa-miR-20a	mir-17-92	lung cancer	up	Apoptosis induction by antisense oligonucleotides against miR-17-5p and miR-20a in lung cancers overexpressing miR-17-92.
hsa-miR-20a	mir-17-92	lung cancer	up	MicroRNA miR-17-5p is overexpressed in pancreatic cancer, associated with a poor prognosis, and involved in cancer cell proliferation and invasion.
hsa-miR-21		lung cancer	up	Evaluation of dynamic change of serum miR-21 and miR-24 in pre- and post-operative lung carcinoma patients.
hsa-miR-21		lung cancer	up	Differential MicroRNAs Expression in Serum of Patients with Lung Cancer, Pulmonary Tuberculosis, and Pneumonia.
hsa-miR-21		lung cancer	up	Expression and significance of miRNA-21 and BTG2 in lung cancer.
hsa-miR-210		lung cancer	up	MiR-210 promotes a hypoxic phenotype and increases radioresistance in human lung cancer cell lines.
hsa-miR-217		lung cancer	down	MicroRNA-217 functions as a tumour suppressor gene and correlates with cell resistance to cisplatin in lung cancer.
hsa-miR-218		lung cancer	down	MicroRNA-218 is deleted and downregulated in lung squamous cell carcinoma.
hsa-miR-218		lung cancer	down	MiRNA-218, a new regulator of HMGB1, suppresses cell migration and invasion in non-small cell lung cancer.
hsa-miR-22		lung cancer	down	Tumor suppressor miR-22 suppresses lung cancer cell progression through post-transcriptional regulation of ErbB3.
hsa-miR-223		lung cancer	down	miR-223 functions as a potent tumor suppressor of the Lewis lung carcinoma cell line by targeting insulin-like growth factor-1 receptor and cyclin-dependent kinase 2.
hsa-miR-24		lung cancer	up	Evaluation of dynamic change of serum miR-21 and miR-24 in pre- and post-operative lung carcinoma patients.
hsa-miR-26a		lung cancer	down	MicroRNA-26a/b Regulate DNA Replication Licensing, Tumorigenesis and Prognosis by Targeting CDC6 in Lung Cancer.
hsa-miR-26b		lung cancer	down	MicroRNA-26a/b Regulate DNA Replication Licensing, Tumorigenesis and Prognosis by Targeting CDC6 in Lung Cancer.
hsa-miR-29c		lung cancer	down	miRNA-29c Suppresses Lung Cancer Cell Adhesion to Extracellular Matrix and Metastasis by Targeting Integrin ?1 and Matrix Metalloproteinase2 (MMP2).
hsa-miR-30d		lung cancer	up	Evaluation of dynamic change of serum miR-21 and miR-24 in pre- and post-operative lung carcinoma patients.
hsa-miR-33a		lung cancer	down	MicroRNA-33a inhibits lung cancer cell proliferation and invasion by regulating the expression of ?-catenin.
hsa-miR-33a		lung cancer	down	MircoRNA-33a inhibits epithelial-to-mesenchymal transition and metastasis and could be a prognostic marker in non-small cell lung cancer.
hsa-miR-34a	mir-34	lung cancer	down	Development of a lung cancer therapeutic based on the tumor suppressor microRNA-34.
hsa-miR-34b	mir-34	lung cancer	down	Development of a lung cancer therapeutic based on the tumor suppressor microRNA-34.
hsa-miR-34c		lung cancer	down	Uncovering growth-suppressive MicroRNAs in lung cancer.
hsa-miR-34c	mir-34	lung cancer	down	Development of a lung cancer therapeutic based on the tumor suppressor microRNA-34.
hsa-miR-365		lung cancer	down	MicroRNA-365 regulates NKX2-1, a key mediator of lung cancer.
hsa-miR-3662		lung cancer	up	Plasma circulating microRNA-944 and microRNA-3662 as potential histologic type-specific early lung cancer biomarkers.
hsa-miR-429	mir-200	lung cancer	up	MicroRNA-200 promotes lung cancer cell growth through FOG2-independent AKT activation.
hsa-miR-449a		lung cancer	down	Combining microRNA-449a/b with a HDAC inhibitor has a synergistic effect on growth arrest in lung cancer.
hsa-miR-449a		lung cancer	down	MicroRNA-449a inhibits cell growth in lung cancer and regulates long noncoding RNA nuclear enriched abundant transcript 1.
hsa-miR-449b		lung cancer	down	Combining microRNA-449a/b with a HDAC inhibitor has a synergistic effect on growth arrest in lung cancer.
hsa-miR-486-5p		lung cancer	down	Downregulation of miR-486-5p contributes to tumor progression and metastasis by targeting protumorigenic ARHGAP5 in lung cancer.
hsa-miR-5100		lung cancer	up	miR-5100 promotes tumor growth in lung cancer by targeting Rab6.
hsa-miR-545		lung cancer	down	MicroRNA-545 Suppresses Cell Proliferation by Targeting Cyclin D1 and CDK4 in Lung Cancer Cells.
hsa-miR-570		lung cancer	up	MicroRNA-570 promotes lung carcinoma proliferation through targeting tumor suppressor KLF9.
hsa-miR-610		lung cancer	down	[miR-610 suppresses lung cancer cell proliferation and invasion by targeting GJA3].
hsa-miR-614		lung cancer	down	[MiR-614 Inhibited Lung Cancer Cell Invasion and Proliferation via Targeting PSA].
hsa-miR-630		lung cancer	down	MiR-630 inhibits proliferation by targeting CDC7 kinase, but maintains the apoptotic balance by targeting multiple modulators in human lung cancer A549 cells.
hsa-miR-660		lung cancer	down	Mir-660 is downregulated in lung cancer patients and its replacement inhibits lung tumorigenesis by targeting MDM2-p53 interaction.
hsa-miR-663		lung cancer	up	MicroRNA-663 targets TGFB1 and regulates lung cancer proliferation.
hsa-miR-7		lung cancer	up	EGFR promotes lung tumorigenesis by activating miR-7 through a Ras/ERK/Myc pathway that targets the Ets2 transcriptional repressor ERF.
hsa-miR-7515		lung cancer	down	The Novel miR-7515 Decreases the Proliferation and Migration of Human Lung Cancer Cells by Targeting c-Met.
hsa-miR-92a	mir-17-92	lung cancer	up	A polycistronic microRNA cluster, miR-17-92, is overexpressed in human lung cancers and enhances cell proliferation.
hsa-miR-92a	mir-17-92	lung cancer	up	Apoptosis induction by antisense oligonucleotides against miR-17-5p and miR-20a in lung cancers overexpressing miR-17-92.
hsa-miR-92a	mir-17-92	lung cancer	up	MicroRNA miR-17-5p is overexpressed in pancreatic cancer, associated with a poor prognosis, and involved in cancer cell proliferation and invasion.
hsa-miR-944		lung cancer	up	Plasma circulating microRNA-944 and microRNA-3662 as potential histologic type-specific early lung cancer biomarkers.
hsa-miR-9500		lung cancer	down	The novel miR-9500 regulates the proliferation and migration of human lung cancer cells by targeting Akt1.
hsa-miR-98	let-7	lung cancer	down	Reduced expression of the let-7 microRNAs in human lung cancers in association with shortened postoperative survival.
hsa-miR-98	let-7	lung cancer	down	Reduced expression of Dicer associated with poor prognosis in lung cancer patients.
hsa-miR-98	let-7	lung cancer	down	Let-7a elevates p21(WAF1) levels by targeting of NIRF and suppresses the growth of A549 lung cancer cells.
hsa-miR-99b		lung cancer	down	microRNA-99b acts as a tumor suppressor in non-small cell lung cancer by directly targeting fibroblast growth factor receptor 3.
hsa-miR-143		lung cancer	up	Stromal expression of miR-143/145 promotes neoangiogenesis in lung cancer development.
hsa-miR-145		lung cancer	up	Stromal expression of miR-143/145 promotes neoangiogenesis in lung cancer development.
hsa-miR-93		lung cancer	up	miR-93 promotes TGF-?-induced epithelial-to-mesenchymal transition through downregulation of NEDD4L in lung cancer cells.
hsa-miR-411		lung cancer	up	miR-411 contributes the cell proliferation of lung cancer by targeting FOXO1.
hsa-miR-101		lung cancer	down	Micro ribonucleic acid (RNA)-101 inhibits cell proliferation and invasion of lung cancer by regulating cyclooxygenase-2.
hsa-miR-218		lung cancer	down	ADAM9 enhances CDCP1 protein expression by suppressing miR-218 for lung tumor metastasis.
hsa-miR-132		lung cancer	down	miR-132 inhibits lung cancer cell migration and invasion by targeting SOX4.
hsa-miR-564		lung cancer	down	MiR-564 functions as a tumor suppressor in human lung cancer by targeting ZIC3.
hsa-miR-125b		lung cancer	down	Up-regulation of miR-125b reverses epithelial-mesenchymal transition in paclitaxel-resistant lung cancer cells.
hsa-miR-137		lung cancer	down	MicroRNA-137 inhibits tumor growth and sensitizes chemosensitivity to paclitaxel and cisplatin in lung cancer.
hsa-miR-206		lung cancer	down	MiR-206 inhibits HGF-induced epithelial-mesenchymal transition and angiogenesis in non-small cell lung cancer via c-Met /PI3k/ Akt/mTOR pathway.
hsa-miR-31		lung cancer	up	BAP1 suppresses lung cancer progression and is inhibited by miR-31.
hsa-miR-133b	mir-133	lung cancer	down	Expression of microRNA-133 inhibits epithelial-mesenchymal transition in lung cancer cells by directly targeting FOXQ1.
hsa-miR-7		lung cancer	down	Promoter mutation of tumor suppressor microRNA-7 is associated with poor prognosis of lung cancer.
hsa-miR-208a		lung cancer	up	Radiation-induced miR-208a increases the proliferation and radioresistance by targeting p21 in human lung cancer cells.
hsa-miR-26b		lung cancer	down	MiR-26b suppresses tumor cell proliferation, migration and invasion by directly targeting COX-2 in lung cancer.
hsa-miR-140-3p		lung cancer	down	MicroRNA-140-3p inhibits proliferation, migration and invasion of lung cancer cells by targeting ATP6AP2.
hsa-miR-148b		lung cancer	down	Restoration of BRG1 inhibits proliferation and metastasis of lung cancer by regulating tumor suppressor miR-148b.
hsa-miR-101		lung cancer	down	The miR-101/RUNX1 feedback regulatory loop modulates chemo-sensitivity and invasion in human lung cancer.
hsa-miR-326		lung cancer	down	MiR-326 regulates cell proliferation and migration in lung cancer by targeting phox2a and is regulated by HOTAIR.
hsa-miR-937		lung cancer	up	miR-937 contributes to the lung cancer cell proliferation by targeting INPP4B.
hsa-miR-302b		lung cancer	down	Exosomes-Derived MiR-302b Suppresses Lung Cancer Cell Proliferation and Migration via TGF?RII Inhibition.
hsa-miR-186		lung cancer	down	MicroRNA-186 suppresses cell proliferation and metastasis through targeting MAP3K2 in non-small cell lung cancer.
hsa-miR-214		lung cancer	down	microRNA-214 Governs Lung Cancer Growth and Metastasis by Targeting Carboxypeptidase-D.
hsa-miR-29a		lung cancer	down	Regulation of LOXL2 and SERPINH1 by antitumor microRNA-29a in lung cancer with idiopathic pulmonary fibrosis.
hsa-miR-130b		lung cancer	up	MicroRNA-130b promotes lung cancer progression via PPAR?/VEGF-A/BCL-2-mediated suppression of apoptosis.
hsa-miR-301b		lung cancer	up	Hypoxia-induced microRNA-301b regulates apoptosis by targeting Bim in lung cancer.
hsa-miR-202		lung cancer	down	MicroRNA-202 induces cell cycle arrest and apoptosis in lung cancer cells through targeting cyclin D1.
hsa-miR-22		lung cancer	down	miR-22 inhibits tumor growth and metastasis by targeting ATP citrate lyase: evidence in osteosarcoma, prostate cancer, cervical cancer and lung cancer.
hsa-miR-144		lung cancer	down	Downregulating microRNA-144 mediates a metabolic shift in lung cancer cells by regulating GLUT1 expression.
hsa-miR-1246		lung cancer	up	Extracellular miR-1246 promotes lung cancer cell proliferation and enhances radioresistance by directly targeting DR5.
hsa-miR-1207-5p		lung cancer	down	miR-1207-5p suppresses lung cancer growth and metastasis by targeting CSF1.
hsa-miR-196a		lung cancer	up	Analysis of miRNA profiles identified miR-196a as a crucial mediator of aberrant PI3K/AKT signaling in lung cancer cells.
hsa-miR-127		lung cancer	up	miR-127 promotes EMT and stem-like traits in lung cancer through a feed-forward regulatory loop.
hsa-miR-383		lung cancer	down	MicroRNA-383 is a tumor suppressor in human lung cancer by targeting endothelial PAS domain-containing protein 1.
hsa-miR-490-3p		lung cancer	up	MicroRNA-490 regulates lung cancer metastasis by targeting poly r(C)-binding protein 1.
hsa-miR-223		lung cancer	up	MicroRNA-223 Promotes Tumor Progression in Lung Cancer A549 Cells via Activation of the NF-?B Signaling Pathway.
hsa-miR-218		lung cancer	down	Downregulation of miR-218 contributes to epithelial-mesenchymal transition and tumor metastasis in lung cancer by targeting Slug/ZEB2 signaling.
hsa-miR-129-5p		lung cancer	down	miRNA-129-5p suppresses cell proliferation and invasion in lung cancer by targeting microspherule protein 1, E-cadherin and vimentin.
hsa-miR-96		lung cancer	up	Circulating exosomal microRNA-96 promotes cell proliferation, migration and drug resistance by targeting LMO7.
hsa-miR-145		lung cancer	down	Interaction of lincRNA ROR and p53/miR-145 correlates with lung cancer stem cell signatures.
hsa-miR-128		lung cancer	down	MicroRNA-128 promotes apoptosis in lung cancer by directly targeting NIMA-related kinase 2.
hsa-miR-138		lung cancer	down	miR-138 suppresses the proliferation, metastasis and autophagy of non-small cell lung cancer by targeting Sirt1.
hsa-miR-361-5p		lung cancer	down	miR-361-5p suppresses lung cancer cell lines progression by targeting FOXM1.
hsa-miR-18a-5p		lung cancer	up	MicroRNA-18a-5p functions as an oncogene by directly targeting IRF2 in lung cancer.
hsa-miR-218		lung cancer	down	Inhibition of pulmonary carcinoma proliferation or metastasis of miR-218 via down-regulating CDCP1 expression.
hsa-miR-27a		lung cancer	up	MIR-27a regulates the TGF-? signaling pathway by targeting SMAD2 and SMAD4 in lung cancer.
hsa-miR-22		lung cancer	down	MiR-22 inhibits lung cancer cell EMT and invasion through targeting Snail.
hsa-miR-33a		lung cancer	down	miR-33a inhibits cell proliferation and invasion by targeting CAND1 in lung cancer.
hsa-miR-26b		lung cancer	down	[MiR-26b regulates invasion and migration of lung cancer cells through targeting hENT1 depending on RhoA/ROCK-1 pathway].
hsa-miR-218		lung cancer	down	MicroRNA-218 functions as a tumor suppressor in lung cancer by targeting IL-6/STAT3 and negatively correlates with poor prognosis.
hsa-miR-641		lung cancer	down	MiR-641 Functions as a Tumor Suppressor by Targeting MDM2 in Human Lung Cancer.
hsa-miR-449a		lung cancer	down	MiR-449a Suppresses LDHA-Mediated Glycolysis to Enhance the Sensitivity of Non-Small Cell Lung Cancer Cells to Ionizing Radiation.
hsa-miR-503-3p		lung cancer	down	miR-503-3p induces apoptosis of lung cancer cells by regulating p21 and CDK4 expression.
hsa-miR-125a-5p		lung cancer	down	MicroRNA-125a-5p plays a role as a tumor suppressor in lung carcinoma cells by directly targeting STAT3.
hsa-miR-137		lung cancer	up	Upregulation of microRNA-137 expression by Slug promotes tumor invasion and metastasis of non-small cell lung cancer cells through suppression of TFAP2C.
hsa-miR-1254		lung cancer	up	miR-1254 promotes lung cancer cell proliferation by targeting SFRP1.
hsa-miR-32		lung cancer	down	Inhibition of miR-32 activity promoted EMT induced by PM2.5 exposure through the modulation of the Smad1-mediated signaling pathways in lung cancer cells.
hsa-miR-24-3p		lung cancer	up	miR-24-3p promotes cell migration and proliferation in lung cancer by targeting SOX7.
hsa-miR-1246		lung cancer	down	MicroRNA-1246 inhibits cell invasion and epithelial mesenchymal transition process by targeting CXCR4 in lung cancer cells.
hsa-miR-29b		lung cancer	down	ARHGEF19 interacts with BRAF to activate MAPK signaling during the tumorigenesis of non-small cell lung cancer.
hsa-miR-5100		lung cancer	up	MiR-5100 increases the cisplatin resistance of the lung cancer stem cells by inhibiting the Rab6.
hsa-miR-186		lung cancer	down	MicroRNA-186 suppresses lung cancer progression by targeting SIRT6.
hsa-miR-4326		lung cancer	up	miR-4326 promotes lung cancer cell proliferation through targeting tumor suppressor APC2.
hsa-miR-29a		lung cancer	down	MicroRNA-29a Functions as a Tumor Suppressor and Increases Cisplatin Sensitivity by Targeting NRAS in Lung Cancer.
hsa-miR-30a		lung cancer	down	miR-30a suppresses lung cancer progression by targeting SIRT1.
hsa-miR-122-3p		lung cancer	down	MicroRNA-122-3p inhibits tumor cell proliferation and induces apoptosis by targeting Forkhead box O in A549 cells.
hsa-miR-544a		lung cancer	up	TINCR suppresses proliferation and invasion through regulating miR-544a/FBXW7 axis in lung cancer.
hsa-miR-103a		lung cancer	up	Hypoxic Lung-Cancer-Derived Extracellular Vesicle MicroRNA-103a Increases the Oncogenic Effects of Macrophages by Targeting PTEN.
hsa-miR-19b-3p		lung cancer	up	miR-19 in blood plasma reflects lung cancer occurrence but is not specifically associated with radon exposure.
hsa-miR-373		lung cancer	up	Down-regulation of miR-373 increases the radiosensitivity of lung cancer cells by targeting TIMP2.
hsa-miR-143		lung cancer	down	Effects of miR-143 overexpression on proliferation, apoptosis, EGFR and downstream signaling pathways in PC9/GR cell line.
hsa-miR-1269		lung cancer	up	miR-1269 promotes cell survival and proliferation by targeting tp53 and caspase-9 in lung cancer.
hsa-miR-330-3p		lung cancer	up	miR-330-3p promotes lung cancer cells invasion, migration, and metastasis by directly targeting hSOD2b.
hsa-miR-362		lung cancer	up	Aberrant Expression of miR-362 Promotes Lung Cancer Metastasis through Downregulation of Sema3A.
hsa-miR-495		lung cancer	down	The miR 495-UBE2C-ABCG2/ERCC1 axis reverses cisplatin resistance by downregulating drug resistance genes in cisplatin-resistant non-small cell lung cancer cells.
hsa-miR-1		lung cancer	down	Down-regulation of micro-RNA-1 (miR-1) in lung cancer. Suppression of tumorigenic property of lung cancer cells and their sensitization to doxorubicin-induced apoptosis by miR-1.
hsa-miR-520b		lung cancer	down	MiR-520b restrains cell growth by targeting HDAC4 in lung cancer.
hsa-miR-506		lung cancer	down	Multipronged activity of combinatorial miR-143 and miR-506 inhibits Lung Cancer cell cycle progression and angiogenesis in vitro.
hsa-miR-143		lung cancer	down	Multipronged activity of combinatorial miR-143 and miR-506 inhibits Lung Cancer cell cycle progression and angiogenesis in vitro.
hsa-miR-503		lung cancer	down	CircRNA circ-BANP-mediated miR-503/LARP1 signaling contributes to lung cancer progression.
hsa-miR-196b		lung cancer	up	miR-196b promotes lung cancer cell migration and invasion through the targeting of GATA6.
hsa-miR-203		lung cancer	down	[miR-203 inhibits lung cancer cell metastasis by targeting fatty acid binding protein 4].
hsa-miR-138		lung cancer	down	TGF?1-induced down-regulation of microRNA-138 contributes to epithelial-mesenchymal transition in primary lung cancer cells.
hsa-miR-181b		lung cancer	down	microRNA-181b suppresses the metastasis of lung cancer cells by targeting sex determining region Y-related high mobility group-box 6 (Sox6).
hsa-miR-183-5p		lung cancer	down	miR-183-5p functions as a tumor suppressor in lung cancer through PIK3CA inhibition.
hsa-miR-377-5p		lung cancer	down	miR-377-5p inhibits lung cancer cell proliferation, invasion, and cell cycle progression by targeting AKT1 signaling.
hsa-miR-3666		lung cancer	down	MicroRNA-3666 inhibits lung cancer cell proliferation, migration, and invasiveness by targeting BPTF.
hsa-miR-128-3p		lung cancer	down	A two-miRNA signature (miR-33a-5p and miR-128-3p) in whole blood as potential biomarker for early diagnosis of lung cancer.
hsa-miR-33a-5p		lung cancer	down	A two-miRNA signature (miR-33a-5p and miR-128-3p) in whole blood as potential biomarker for early diagnosis of lung cancer.
hsa-miR-93		lung cancer	up	Molecular mechanism and role of microRNA-93 in human cancers: A study based on bioinformatics analysis, meta-analysis, and quantitative polymerase chain reaction validation.
hsa-miR-124		lung cancer	down	Circular RNA HIPK3 exerts oncogenic properties through suppression of miR-124 in lung cancer.
hsa-miR-182		lung cancer	up	MiR-182 enhances radioresistance in non-small cell lung cancer cells by regulating FOXO3.
hsa-miR-4301		lung cancer	down	An Inventive Report of Inducing Apoptosis in Non-Small Cell Lung Cancer (NSCLC) Cell Lines by Transfection of MiR-4301.
